Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
24-Nov-2011,8412.55,8504.4,8276.75,8472.5,28235534,1847.96
25-Nov-2011,8438.2,8558.6,8360.55,8488.6,21107951,1634.27
28-Nov-2011,8598.7,8809.95,8598.7,8793.15,18656087,1336.29
29-Nov-2011,8824.55,8843.9,8587.45,8623.9,23168441,1712.53
30-Nov-2011,8529.05,8704.1,8490.35,8564.1,57136054,4493.03
01-Dec-2011,8872.8,9033.85,8821.5,8895.3,23991053,1836.44
02-Dec-2011,8924.15,9200.65,8859.65,9172.75,21702819,1748.9
05-Dec-2011,9154.9,9215.4,9073.8,9173.75,16655348,1425.66
07-Dec-2011,9235.35,9273.1,9133.55,9176.25,20647601,1693.42
08-Dec-2011,9126.45,9153.4,8871.25,8915.7,21155533,1724.06
09-Dec-2011,8786.35,8932.0,8689.85,8811.1,22774569,1809.1
12-Dec-2011,8900.9,8920.25,8504.45,8543.4,20338446,1611.17
13-Dec-2011,8475.85,8642.35,8393.3,8571.95,22762016,1601.51
14-Dec-2011,8549.55,8696.9,8482.95,8533.0,26658191,2044.79
15-Dec-2011,8449.45,8509.5,8375.65,8445.1,23933746,1846.21
16-Dec-2011,8482.25,8602.8,8127.2,8171.9,31989623,2344.26
19-Dec-2011,8122.25,8122.25,7801.55,7920.75,31040733,2044.99
20-Dec-2011,7948.45,7961.7,7766.35,7798.55,25526248,1643.84
21-Dec-2011,7999.0,8235.65,7936.0,8189.15,26632166,1667.07
22-Dec-2011,8106.2,8415.7,8064.15,8384.65,27181608,1870.28
23-Dec-2011,8406.2,8451.95,8253.45,8296.45,17995378,1342.8
26-Dec-2011,8301.35,8420.2,8292.65,8374.55,9804349,742.61
27-Dec-2011,8348.55,8365.75,8223.85,8275.5,11580410,815.27
28-Dec-2011,8256.1,8256.1,8053.15,8111.4,13984137,948.72
29-Dec-2011,8050.3,8137.4,7986.75,8027.4,22340253,1518.91
30-Dec-2011,8073.2,8120.15,7925.15,7968.65,14642061,925.25
02-Jan-2012,8009.85,8028.45,7888.25,7995.05,11150446,743.97
03-Jan-2012,8072.8,8356.35,8072.8,8340.3,15173925,1018.64
04-Jan-2012,8388.95,8453.4,8294.35,8408.4,18615663,1348.42
05-Jan-2012,8421.5,8516.15,8394.25,8454.9,17610352,1251.9
06-Jan-2012,8397.35,8586.65,8297.55,8488.25,15324661,1100.7
07-Jan-2012,8471.15,8480.4,8436.45,8452.8,1106863,90.0
09-Jan-2012,8450.4,8517.8,8329.9,8481.35,13642815,1051.43
10-Jan-2012,8535.65,8748.8,8535.65,8735.05,18587632,1290.87
11-Jan-2012,8758.25,8858.95,8736.25,8839.7,18531642,1361.08
12-Jan-2012,8831.45,9015.25,8830.25,8930.25,21973553,1528.9
13-Jan-2012,8989.9,9073.0,8913.95,8975.05,18860088,1358.79
16-Jan-2012,8913.25,8967.95,8813.85,8940.25,15090056,1181.63
17-Jan-2012,9013.65,9114.45,9011.8,9056.7,17388476,1301.9
